,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
0,52453,,,,,,8,4,4,0.5,34.3,6.4,14.1,0.451,1.6,4.0,0.406,6.0,7.1,0.842,0.8,3.0,3.8,6.8,3.4,1.4,0.0,0.5,1.9,7.3,20.4,-2.1,35.8,3,0,35.3,914,906,913,689,76,126,126,660,232,286,234,26,42,345,743,557,619,28,46,184,1252,467,811,10,72,1122,84,227,39,85,1
1,52456,,,,,,8,4,4,0.5,28.6,5.6,13.6,0.413,0.8,2.8,0.273,3.5,5.0,0.7,2.4,5.3,7.6,0.9,2.4,0.6,0.9,1.0,3.9,5.5,15.5,-2.1,28.1,3,0,27.8,914,906,913,689,326,209,152,949,611,514,899,171,131,970,126,136,116,973,197,781,222,86,55,46,205,1122,269,227,39,248,1
2,52458,,,,,,8,4,4,0.5,26.6,3.3,9.4,0.347,2.1,5.8,0.37,2.3,2.6,0.857,0.0,2.5,2.5,1.4,0.9,0.3,0.5,0.9,2.9,3.0,10.9,-1.1,17.3,0,0,18.4,914,906,913,689,426,636,434,1301,101,98,409,365,465,272,1434,734,980,685,1006,1263,425,162,258,291,473,938,722,512,39,623,1
3,52449,,,,,,8,4,4,0.5,23.0,3.1,7.4,0.424,0.9,3.0,0.292,1.3,1.8,0.714,1.5,2.8,4.3,1.5,1.8,0.6,0.1,0.5,2.1,1.1,8.4,-1.0,16.2,0,0,16.5,914,906,913,689,626,664,637,878,544,454,840,734,728,904,319,653,511,627,421,781,1053,467,642,1013,684,902,776,512,39,725,1
4,52455,,,,,,8,4,4,0.5,23.6,2.3,6.5,0.346,0.3,1.8,0.143,1.6,2.6,0.619,0.6,2.4,3.0,2.8,1.3,1.3,0.3,0.3,2.8,2.8,6.4,0.0,17.4,0,0,15.4,914,906,913,689,599,911,739,1302,1000,775,1143,574,465,1181,850,800,821,284,691,227,770,937,301,366,875,702,717,512,39,781,1
5,52459,,,,,,8,4,4,0.5,22.8,2.1,6.5,0.327,1.3,3.6,0.345,0.0,0.0,0.0,0.4,2.5,2.9,1.0,1.0,0.5,0.1,0.4,0.9,0.4,5.5,-1.9,11.3,0,0,11.9,914,906,913,689,645,946,739,1373,360,360,553,1448,1471,1448,1107,734,871,850,849,913,1053,708,1370,1430,991,1077,1056,512,39,986,1
6,52452,,,,,,8,4,4,0.5,11.0,1.6,2.5,0.65,0.0,0.0,0.0,1.0,1.9,0.533,1.1,2.1,3.3,0.1,0.9,0.3,0.1,0.1,1.4,2.0,4.3,0.1,8.6,0,0,8.4,914,906,913,689,1280,1114,1336,54,1178,1370,1178,855,688,1303,477,895,754,1465,1006,1263,1053,1224,1135,581,1142,682,1229,512,39,1218,1
7,52292,,,,,,7,4,3,0.571,30.7,6.7,17.9,0.376,1.4,4.9,0.294,9.4,11.6,0.815,1.4,3.6,5.0,2.0,3.1,1.3,0.9,0.9,3.0,7.3,24.3,5.6,36.6,0,0,37.0,934,906,1000,544,215,104,34,1170,292,190,826,2,3,446,350,415,382,444,66,216,228,169,194,9,24,117,77,512,39,63,1
8,52492,,,,,,7,7,0,1.0,30.6,7.3,14.9,0.49,1.4,3.4,0.417,1.3,1.4,0.9,3.9,5.6,9.4,1.1,1.9,1.4,0.7,1.1,2.7,2.3,17.3,9.6,34.9,2,0,33.6,934,810,1493,1,218,72,103,412,292,391,197,715,870,164,17,115,42,796,378,168,290,67,321,490,141,39,102,281,39,107,1
9,52286,,,,,,7,4,3,0.571,29.9,6.0,14.3,0.42,0.7,3.1,0.227,2.6,3.3,0.783,0.7,2.7,3.4,3.9,2.3,1.4,0.9,0.6,2.7,2.7,15.3,6.0,29.8,0,0,27.9,934,906,1000,544,256,152,122,902,643,445,1037,303,329,601,781,665,704,157,222,168,228,410,321,374,214,92,218,512,39,244,1
